0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:10:28 +0900] "GET /book/display?fileName=%5Cupdate%5C2024%5C03%5C19%2Fs_d4f3c20c-d10b-41e1-9008-376f2193ca4e_dog.png HTTP/1.1" 200 13852
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:10:31 +0900] "POST /book/deleteUpdateFile HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:11:19 +0900] "POST /book/update_uploadImg HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:11:19 +0900] "GET /book/display?fileName=%5Cupdate%5C2024%5C03%5C19%2Fs_dbe01b55-7c4b-430a-bbab-94663e5cb4c7_background.PNG HTTP/1.1" 200 14666
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:11:24 +0900] "POST /book/deleteUpdateFile HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:02 +0900] "GET /member/login HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:06 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:06 +0900] "GET /book/list HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /resources/js/book/bookList.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "POST /book/list.do HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2Fdfbb4310-ec47-4df4-beaa-b1821ee5b755_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C12%2Fce3f541f-33ad-49d9-8dcf-56014334d161_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2Fa1bb0c35-446f-4e02-a326-3938ba7bd38d_dog.png HTTP/1.1" 200 253202
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2Fbb7ddfeb-1883-47c3-8feb-8247c46d0c23_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2Fcc9eda81-8862-4440-bde0-b87c2c33e97c_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2Fa162dbd8-d2c6-4700-977f-35d993cc0de8_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2F6bef7c7a-8a93-43d1-b243-53070d198304_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2F7c5288b8-3fd4-443d-9e8a-9c9111518b8c_dog.png HTTP/1.1" 200 253202
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:07 +0900] "GET /book/display?fileName=2024%5C03%5C08%2F0801bcd0-a2a4-4036-8794-df4ab8da1158_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:12 +0900] "GET /book/detail?book_code=24 HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:12 +0900] "GET /book/display?fileName=2024%5C03%5C12%2Fce3f541f-33ad-49d9-8dcf-56014334d161_background.PNG HTTP/1.1" 200 953765
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:12 +0900] "GET /resources/js/book/bookDetail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:20 +0900] "POST /book/update_uploadImg HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:20 +0900] "GET /book/display?fileName=%5Cupdate%5C2024%5C03%5C19%2Fs_2df5c662-d154-4d42-92dc-0eb434fce058_background.PNG HTTP/1.1" 200 14666
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:21:25 +0900] "POST /book/deleteUpdateFile HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:43:40 +0900] "GET /index.jsp HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:43:44 +0900] "GET /member/login HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:43:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:43:48 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:43:48 +0900] "GET /book/list HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [19/Mar/2024:14:43:48 +0900] "POST /book/list.do HTTP/1.1" 200 4850
